"time" "cause" "pct" "age_specific" "sex" "id" "start" "end" "group" "cip"
60 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 1
60 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0
60 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0
60.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.966245728296039
60.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.000412881793267392
60.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0333413899106932
60.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.931760812099275
60.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00119325544646034
60.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0670459324542643
60.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.897857594554947
60.75 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00210337902625278
60.75 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.100039026418802
61 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.867570212937765
61 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00297714658692302
61 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.129452640475313
61.25 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.83892345051181
61.25 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.0034706608429945
61.25 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.157605888645196
61.5 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.807601574784729
61.5 "External" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.00426054532863379
61.5 "Natural" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.188137879886637
61.75 "Censored" 25 60 "Males" 100040 "DX40" "DX40" "Diagnosed" 0.775745669896871
